% set_pose_wall_a_wp2_bis_lab_time_res_pose  right_arm  basic_scene + wall %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	SBLConfigDefault	3	0	0.04	2.108	1
r	SBLConfigDefault	3	1	0.083	1.978	1
r	SBLConfigDefault	3	2	0.092	7.247	1
r	SBLConfigDefault	3	3	-1	-1	1
r	SBLConfigDefault	3	4	0.084	0.382	1
r	SBLConfigDefault	3	5	0.063	2.268	1
r	SBLConfigDefault	4	0	0.084	2.081	1
r	SBLConfigDefault	4	1	0.043	1.973	1
r	SBLConfigDefault	4	2	0.054	7.871	1
r	SBLConfigDefault	4	3	0.053	1.972	1
r	SBLConfigDefault	4	4	0.118	3.998	1
r	SBLConfigDefault	4	5	0.071	2.19	1
