% set_pose_packingboxes_b_wp_sim_time_res_pose  right_arm  basic_scene + packingboxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	RRTConnectConfigDefault	0	2	0.125	8.457	1
r	RRTConnectConfigDefault	0	3	-1	-1	0
r	RRTConnectConfigDefault	0	4	0.044	0.877	1
r	RRTConnectConfigDefault	0	5	0.047	1.776	1
r	RRTConnectConfigDefault	0	6	0.099	1.226	1
r	RRTConnectConfigDefault	0	7	0.067	1.168	1
r	RRTConnectConfigDefault	0	8	0.05	2.014	1
r	RRTConnectConfigDefault	0	9	0.07	1.253	1
r	RRTConnectConfigDefault	0	10	0.091	1.318	1
r	RRTConnectConfigDefault	0	11	0.054	2.271	1
r	RRTConnectConfigDefault	0	12	0.055	1.138	1
r	RRTConnectConfigDefault	0	13	0.105	1	1
r	RRTConnectConfigDefault	0	14	-1	-1	0
r	RRTConnectConfigDefault	0	15	-1	-1	0
r	RRTConnectConfigDefault	0	16	0.076	6.116	1
r	RRTConnectConfigDefault	1	0	0.066	4.665	1
r	RRTConnectConfigDefault	1	1	0.038	1.171	1
r	RRTConnectConfigDefault	1	2	0.079	1.8	1
r	RRTConnectConfigDefault	1	3	-1	-1	0
r	RRTConnectConfigDefault	1	4	0.091	0.821	1
r	RRTConnectConfigDefault	1	5	0.04	1.971	1
r	RRTConnectConfigDefault	1	6	0.085	0.926	1
r	RRTConnectConfigDefault	1	7	0.064	1.155	1
r	RRTConnectConfigDefault	1	8	0.116	6.372	1
r	RRTConnectConfigDefault	1	9	0.046	1.318	1
r	RRTConnectConfigDefault	1	10	0.033	1.367	1
r	RRTConnectConfigDefault	1	11	0.086	2.191	1
r	RRTConnectConfigDefault	1	12	0.082	1.137	1
r	RRTConnectConfigDefault	1	13	0.092	1.016	1
r	RRTConnectConfigDefault	1	14	-1	-1	0
r	RRTConnectConfigDefault	1	15	0.103	8.69	1
r	RRTConnectConfigDefault	1	16	0.044	1.478	1
r	RRTConnectConfigDefault	2	0	0.054	3.988	1
r	RRTConnectConfigDefault	2	1	0.087	0.969	1
r	RRTConnectConfigDefault	2	2	0.037	1.925	1
r	RRTConnectConfigDefault	2	3	0.11	7.551	1
r	RRTConnectConfigDefault	2	4	0.075	3.755	1
r	RRTConnectConfigDefault	2	5	0.064	1.813	1
r	RRTConnectConfigDefault	2	6	0.119	1.129	1
r	RRTConnectConfigDefault	2	7	0.106	1.158	1
r	RRTConnectConfigDefault	2	8	0.051	2.238	1
r	RRTConnectConfigDefault	2	9	0.091	1.148	1
r	RRTConnectConfigDefault	2	10	0.09	1.225	1
